YEAR,CERT,NAMEFULL,ADDRESBR,BRNUM,UNINUMBR,STALPBR,ADDRESS,ASSET,BKCLASS,CALL,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,ZIP,BKMO,BRCENM,BRSERTYP,CBSA_DIV_NAMB,CITY2BR,CITYBR,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DEPSUMBR,DIVISIONB,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NECNAMB,NECTABR,PLACENUM,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,STCNTYBR,STNAMEBR,STNUMBR,USA,ZIPBR,Income Indicator,Tract Income Category,Tract Race Category,Minority Percentage
2025,622,Amalgamated Bank,255 California St Ste 600,30,446207,CA,275 7th Ave,8623488,NM,CALL,STATE,State Agency,STATE,New York,21,United States,false,7759988,0,9297,,2,New York,2,New York,DIF,,,CB,,,FDIC,661308,COMMERCIAL LENDING,4,NY,36061,New York,false,10001,false,,11,"San Francisco-San Mateo-Redwood City, CA",San Francisco,San Francisco,United States,San Francisco,75,,488,"San Jose-San Francisco-Oakland, CA",397338,41884,true,false,41860,"San Francisco-Oakland-Fremont, CA",New Resource Bank Main Office Branch,,,,"05/18/2018","100.0","09/19/2006",37.7929830168341,-122.399592978135,Subaddress,6075,California,6,true,94111,"0",null,majority-minorty,"65.62"
2025,628,"JPMorgan Chase Bank, National Association",13103 Philadelphia St,4413,288579,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Whittier,Whittier,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",214108,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Uptown Whittier Branch,,,,"09/25/2008","100.0",12/27/1988,33.9793109912329,-118.035935041511,EXACT,6037,California,6,true,90601,"2",moderate income,majority-minorty,"84.86"
2025,628,"JPMorgan Chase Bank, National Association",9647 Las Tunas Dr,4414,288580,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Temple City,Temple City,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",574268,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Temple City Camellia Branch,,,,"09/25/2008","100.0",12/27/1988,34.1071910057716,-118.059307978516,EXACT,6037,California,6,true,91780,"3",middle income,majority-minorty,"83.98"
2025,628,"JPMorgan Chase Bank, National Association",925 N Hacienda Blvd,4415,288581,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",La Puente,La Puente,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",386101,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",La Puente Branch,,,,"09/25/2008","100.0",12/27/1988,34.0365029797128,-117.95038699077,EXACT,6037,California,6,true,91744,"2",moderate income,majority-minorty,"96.99"
2025,628,"JPMorgan Chase Bank, National Association",1600 S Pacific Coast Hwy,4417,288583,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Redondo Beach,Redondo Beach,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",487004,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Riviera Branch,,,,"09/25/2008","100.0",12/27/1988,33.8197859813551,-118.384803011261,EXACT,6037,California,6,true,90277,"4",upper income,majority-white,"33.68"
2025,628,"JPMorgan Chase Bank, National Association",2314 Honolulu Ave,4418,288584,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Montrose,Montrose,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",438707,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Montrose Branch,,,,"09/25/2008","100.0",12/27/1988,34.205433993696,-118.228829958583,EXACT,6037,California,6,true,91020,"4",upper income,majority-white,"32.32"
2025,628,"JPMorgan Chase Bank, National Association",201 Manhattan Beach Blvd,4419,288585,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Manhattan Beach,Manhattan Beach,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",341382,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Manhattan Beach Blvd Branch,,,,"09/25/2008","100.0",12/27/1988,33.885033984615,-118.410665960242,EXACT,6037,California,6,true,90266,"4",upper income,majority-white,"22"
2025,628,"JPMorgan Chase Bank, National Association",1188 E Alosta Ave,4420,288586,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Azusa,Azusa,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",394971,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Azusa Branch,,,,"09/25/2008","100.0",12/27/1988,34.1283929879444,-117.88172998367,EXACT,6037,California,6,true,91702,"3",middle income,majority-minorty,"75.79"
2025,628,"JPMorgan Chase Bank, National Association",11618 Rosecrans Ave,4421,288587,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Norwalk,Norwalk,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",310476,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Norwalk Branch,,,,"09/25/2008","100.0",12/27/1988,33.9019189932858,-118.085607037919,EXACT,6037,California,6,true,90650,"3",middle income,majority-minorty,"91.67"
2025,628,"JPMorgan Chase Bank, National Association",17200 Hawthorne Blvd,4422,288588,CA,1111 Polaris Pkwy,3788551000,N,CALL,FED,Comptroller of the Currency,OCC,Columbus,3,United States,false,2132981000,0,0,,9,Chicago,4,Cleveland,DIF,,,CB,6,Large Bank,OCC,852218,INTERNATIONAL,1,OH,39041,Ohio,false,43240,false,,11,"Los Angeles-Long Beach-Glendale, CA",Torrance,Torrance,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",444405,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",North Torrance Branch,,,,"09/25/2008","100.0",12/27/1988,33.8742740097802,-118.352052987717,EXACT,6037,California,6,true,90504,"4",upper income,majority-minorty,"69.59"
